Function                                                                                                   CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Overhead Time  Module              Function (Full)                                                                                                                 Source File         Start Address
---------------------------------------------------------------------------------------------------------  --------  -----------------------  ------------------  ----------------------  ------------------  ------------------------------------------------------------------------------------------------------------------------------  ------------------  -------------
std::bitset<(unsigned long)256>::operator|=                                                                  6.273s                   6.273s                  0s                      0s  benchmark_denseqmc  std::bitset<(unsigned long)256>::operator|=(std::bitset<(unsigned long)256> const&)                                             bitset              0x1918       
QuineMcCluskey::iter                                                                                         5.937s                   5.937s                  0s                      0s  benchmark_denseqmc  QuineMcCluskey::iter(std::function<void (unsigned long)> const&) const                                                          dense.cpp           0x20c0       
std::bitset<(unsigned long)256>::operator[]                                                                  5.631s                   5.631s                  0s                      0s  benchmark_denseqmc  std::bitset<(unsigned long)256>::operator[](unsigned long) const                                                                bitset              0x2140       
std::bitset<(unsigned long)256>::operator&=                                                                  4.574s                   4.574s                  0s                      0s  benchmark_denseqmc  std::bitset<(unsigned long)256>::operator&=(std::bitset<(unsigned long)256> const&)                                             bitset              0x2060       
std::bitset<(unsigned long)256>::operator&=                                                                  2.300s                   2.300s                  0s                      0s  benchmark_denseqmc  std::bitset<(unsigned long)256>::operator&=(std::bitset<(unsigned long)256> const&)                                             bitset              0x206a       
std::vector<std::bitset<(unsigned long)256>, std::allocator<std::bitset<(unsigned long)256>>>::resize        1.050s                   1.050s                  0s                      0s  benchmark_denseqmc  std::vector<std::bitset<(unsigned long)256>, std::allocator<std::bitset<(unsigned long)256>>>::resize(unsigned long)            stl_vector.h        0x1294       
operator()                                                                                                   0.704s                   0.704s                  0s                      0s  benchmark_denseqmc  operator()                                                                                                                      main_benchmark.cpp  0x1810       
QuineMcCluskey::run                                                                                          0.360s                   0.360s                  0s                      0s  benchmark_denseqmc  QuineMcCluskey::run(void)                                                                                                       dense.cpp           0x1880       
std::vector<std::bitset<(unsigned long)256>, std::allocator<std::bitset<(unsigned long)256>>>::size          0.324s                   0.324s                  0s                      0s  benchmark_denseqmc  std::vector<std::bitset<(unsigned long)256>, std::allocator<std::bitset<(unsigned long)256>>>::size(void) const                 stl_vector.h        0x20c0       
std::bitset<(unsigned long)256>::any                                                                         0.296s                   0.296s                  0s                      0s  benchmark_denseqmc  std::bitset<(unsigned long)256>::any(void) const                                                                                bitset              0x20f8       
std::bitset<(unsigned long)256>::operator>>                                                                  0.296s                   0.296s                  0s                      0s  benchmark_denseqmc  std::bitset<(unsigned long)256>::operator>>() const                                                                             bitset              0x1af8       
std::operator&<(unsigned long)256>                                                                           0.292s                   0.292s                  0s                      0s  benchmark_denseqmc  std::operator&<(unsigned long)256>((unsigned long)256 const&, (unsigned long)256 const)                                         bitset              0x1a41       
std::operator&<(unsigned long)256>                                                                           0.264s                   0.264s                  0s                      0s  benchmark_denseqmc  std::operator&<(unsigned long)256>((unsigned long)256 const&, (unsigned long)256 const)                                         bitset              0x1997       
std::operator|<(unsigned long)256>                                                                           0.252s                   0.252s                  0s                      0s  benchmark_denseqmc  std::operator|<(unsigned long)256>((unsigned long)256 const&, (unsigned long)256 const)                                         bitset              0x1f1e       
std::function<void (unsigned long)>::operator()                                                              0.252s                   0.252s                  0s                      0s  benchmark_denseqmc  std::function<void (unsigned long)>::operator()(unsigned long) const                                                            std_function.h      0x215a       
std::bitset<(unsigned long)256>::operator>>                                                                  0.248s                   0.248s                  0s                      0s  benchmark_denseqmc  std::bitset<(unsigned long)256>::operator>>() const                                                                             bitset              0x1baf       
std::bitset<(unsigned long)256>::operator>>                                                                  0.228s                   0.228s                  0s                      0s  benchmark_denseqmc  std::bitset<(unsigned long)256>::operator>>() const                                                                             bitset              0x1d5c       
std::bitset<(unsigned long)256>::operator>>                                                                  0.180s                   0.180s                  0s                      0s  benchmark_denseqmc  std::bitset<(unsigned long)256>::operator>>() const                                                                             bitset              0x1ec0       
std::bitset<(unsigned long)256>::operator>>                                                                  0.172s                   0.172s                  0s                      0s  benchmark_denseqmc  std::bitset<(unsigned long)256>::operator>>() const                                                                             bitset              0x1dfe       
std::bitset<(unsigned long)256>::operator<<                                                                  0.156s                   0.156s                  0s                      0s  benchmark_denseqmc  std::bitset<(unsigned long)256>::operator<<(unsigned long) const                                                                bitset              0x1e53       
_M_invoke                                                                                                    0.152s                   0.152s                  0s                      0s  benchmark_denseqmc  _M_invoke                                                                                                                       std_function.h      0x1810       
